Block	Trial Number	Task	Condition	Stimulus Text	Stimulus Color	Response	Response Accuracy	RT
Practice	1	Ink	Incongruent	VERD	BLAU	4	rm_hit	1616.7
Practice	2	Ink	Neutral	xxxxx	VERMELL	2	rm_hit	989.4
Practice	3	Ink	Neutral	xxx	VERD	3	rm_hit	892.4
Practice	4	Ink	Incongruent	VERD	GROC	5	rm_hit	479.8
Practice	5	Ink	Neutral	xxxxxx	VERMELL	2	rm_hit	691.3
Practice	6	Ink	Neutral	xxxxxx	VERD	3	rm_hit	613.1
Practice	7	Ink	Neutral	xxxx	VERMELL	2	rm_hit	675.6
Practice	8	Ink	Neutral	xxxx	BLAU	4	rm_hit	326.5
Practice	9	Ink	Incongruent	GROC	VERD	3	rm_hit	841.1
Practice	10	Ink	Incongruent	VERMELL	BLAU	4	rm_hit	655.3
Practice	11	Ink	Incongruent	BLAU	GROC	5	rm_hit	650.9
Practice	12	Ink	Incongruent	VERD	VERMELL	2	rm_hit	539.3
Main	1	Ink	Incongruent	BLAU	VERD	3	rm_hit	633.5
Main	2	Ink	Neutral	xxxxxx	VERD	3	rm_hit	569.1
Main	3	Ink	Neutral	xxx	VERD	3	rm_hit	479.6
Main	4	Ink	Incongruent	VERMELL	BLAU	4	rm_hit	617.8
Main	5	Ink	Incongruent	VERD	VERMELL	2	rm_hit	548.5
Main	6	Ink	Incongruent	GROC	VERMELL	2	rm_hit	650.5
Main	7	Ink	Incongruent	VERD	BLAU	4	rm_hit	586
Main	8	Ink	Incongruent	BLAU	GROC	5	rm_hit	490.6
Main	9	Ink	Incongruent	VERD	GROC	5	rm_hit	436.9
Main	10	Ink	Neutral	xxxxx	VERMELL	2	rm_hit	486.5
Main	11	Ink	Incongruent	GROC	BLAU	4	rm_hit	490.8
Main	12	Ink	Neutral	xxxxx	GROC	5	rm_hit	500.9
Main	13	Ink	Incongruent	GROC	VERD	3	rm_hit	539.8
Main	14	Ink	Neutral	xxx	BLAU	4	rm_hit	610.3
Main	15	Ink	Neutral	xxx	GROC	5	rm_hit	424.8
Main	16	Ink	Neutral	xxxx	BLAU	4	rm_hit	462
Main	17	Ink	Neutral	xxxx	GROC	5	rm_hit	462.9
Main	18	Ink	Neutral	xxxxxx	BLAU	4	rm_hit	394.2
Main	19	Ink	Neutral	xxxxxx	VERMELL	2	rm_hit	465.5
Main	20	Ink	Incongruent	VERMELL	VERD	3	rm_hit	501.1
Main	21	Ink	Incongruent	BLAU	VERMELL	2	rm_hit	552.1
Main	22	Ink	Neutral	xxxxx	VERD	3	rm_hit	630.9
Main	23	Ink	Incongruent	VERMELL	GROC	5	rm_hit	580
Main	24	Ink	Neutral	xxxx	VERMELL	2	rm_hit	527.8
Practice	1	Color Name	Incongruent	GROC	VERD	5	rm_hit	890.5
Practice	2	Color Name	Neutral	GROC	Neutral	5	rm_hit	1171.5
Practice	3	Color Name	Incongruent	BLAU	GROC	4	rm_hit	641.5
Practice	4	Color Name	Neutral	VERD	Neutral	3	rm_hit	848.7
Practice	5	Color Name	Neutral	BLAU	Neutral	4	rm_hit	569.3
Practice	6	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	712.7
Practice	7	Color Name	Incongruent	VERD	GROC	5	rm_incorrect	466.6
Practice	8	Color Name	Neutral	VERD	Neutral	3	rm_hit	726.1
Practice	9	Color Name	Incongruent	VERMELL	BLAU	2	rm_hit	1309.5
Practice	10	Color Name	Incongruent	VERD	VERMELL	3	rm_hit	907.4
Practice	11	Color Name	Incongruent	VERD	BLAU	3	rm_hit	652.3
Practice	12	Color Name	Neutral	GROC	Neutral	5	rm_hit	880.7
Main	1	Color Name	Neutral	VERD	Neutral	3	rm_hit	869.5
Main	2	Color Name	Incongruent	BLAU	VERD	4	rm_hit	602.2
Main	3	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	773.3
Main	4	Color Name	Incongruent	GROC	VERMELL	5	rm_hit	468.5
Main	5	Color Name	Incongruent	BLAU	VERMELL	4	rm_hit	811
Main	6	Color Name	Incongruent	VERMELL	GROC	2	rm_hit	949.1
Main	7	Color Name	Neutral	VERD	Neutral	3	rm_hit	627.3
Main	8	Color Name	Neutral	VERD	Neutral	3	rm_hit	640.5
Main	9	Color Name	Incongruent	GROC	VERD	3	rm_incorrect	637.7
Main	10	Color Name	Incongruent	GROC	BLAU	5	rm_hit	679.5
Main	11	Color Name	Incongruent	VERMELL	VERD	2	rm_hit	815.7
Main	12	Color Name	Neutral	BLAU	Neutral	4	rm_hit	912.9
Main	13	Color Name	Incongruent	VERMELL	BLAU	2	rm_hit	1435.5
Main	14	Color Name	Incongruent	VERD	VERMELL	3	rm_hit	1196.3
Main	15	Color Name	Incongruent	BLAU	GROC	4	rm_hit	1157.3
Main	16	Color Name	Neutral	GROC	Neutral	5	rm_hit	706.3
Main	17	Color Name	Neutral	BLAU	Neutral	4	rm_hit	524.8
Main	18	Color Name	Incongruent	VERD	GROC	3	rm_hit	907.5
Main	19	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	789
Main	20	Color Name	Neutral	GROC	Neutral	5	rm_hit	1535.9
Main	21	Color Name	Neutral	BLAU	Neutral	4	rm_hit	547.4
Main	22	Color Name	Incongruent	VERD	BLAU	3	rm_hit	648.8
Main	23	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	631.2
Main	24	Color Name	Neutral	GROC	Neutral	5	rm_hit	421.3

