Block	Trial Number	Task	Condition	Stimulus Text	Stimulus Color	Response	Response Accuracy	RT
Practice	1	Ink	Neutral	xxx	GROC	5	rm_hit	1876.5
Practice	2	Ink	Neutral	xxxxx	GROC	5	rm_hit	977.4
Practice	3	Ink	Incongruent	VERD	GROC	5	rm_hit	1354.2
Practice	4	Ink	Incongruent	VERMELL	VERD	3	rm_hit	2046.7
Practice	5	Ink	Incongruent	BLAU	VERD	3	rm_hit	1640.4
Practice	6	Ink	Incongruent	VERD	BLAU	4	rm_hit	1733.6
Practice	7	Ink	Neutral	xxx	VERD	3	rm_hit	1326.2
Practice	8	Ink	Neutral	xxxxxx	VERMELL	2	rm_hit	1010.1
Practice	9	Ink	Incongruent	BLAU	GROC	5	rm_hit	1474.2
Practice	10	Ink	Incongruent	GROC	VERD	3	rm_hit	1107.5
Practice	11	Ink	Neutral	xxxxx	VERMELL	2	rm_hit	1188.2
Practice	12	Ink	Neutral	xxxx	VERMELL	2	rm_hit	897.5
Main	1	Ink	Incongruent	BLAU	GROC	5	rm_hit	1150.9
Main	2	Ink	Neutral	xxx	GROC	5	rm_hit	714.9
Main	3	Ink	Neutral	xxxxx	VERMELL	2	rm_hit	878.4
Main	4	Ink	Neutral	xxxxx	GROC	5	rm_hit	1198.1
Main	5	Ink	Incongruent	BLAU	VERD	3	rm_hit	1214.1
Main	6	Ink	Incongruent	VERD	VERMELL	2	rm_hit	1556.2
Main	7	Ink	Neutral	xxxxx	VERD	3	rm_hit	1275.5
Main	8	Ink	Neutral	xxxxxx	VERMELL	2	rm_hit	990.9
Main	9	Ink	Incongruent	VERMELL	GROC	5	rm_hit	1333.7
Main	10	Ink	Incongruent	VERMELL	BLAU	4	rm_hit	1445.1
Main	11	Ink	Neutral	xxxx	BLAU	4	rm_hit	1058.1
Main	12	Ink	Incongruent	VERD	GROC	5	rm_hit	1012.8
Main	13	Ink	Neutral	xxxx	GROC	5	rm_hit	829.1
Main	14	Ink	Incongruent	BLAU	VERMELL	2	rm_hit	801.7
Main	15	Ink	Incongruent	GROC	BLAU	4	rm_hit	1059.3
Main	16	Ink	Incongruent	GROC	VERMELL	2	rm_hit	1483
Main	17	Ink	Incongruent	VERD	BLAU	4	rm_hit	950.5
Main	18	Ink	Neutral	xxx	VERD	3	rm_hit	980
Main	19	Ink	Neutral	xxx	BLAU	4	rm_hit	855.6
Main	20	Ink	Neutral	xxxxxx	BLAU	4	rm_hit	823.3
Main	21	Ink	Neutral	xxxx	VERMELL	2	rm_hit	895
Main	22	Ink	Incongruent	GROC	VERD	3	rm_hit	953.3
Main	23	Ink	Incongruent	VERMELL	VERD	3	rm_hit	802
Main	24	Ink	Neutral	xxxxxx	VERD	3	rm_hit	679.3
Practice	1	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	1637.3
Practice	2	Color Name	Neutral	BLAU	Neutral	4	rm_hit	1221.1
Practice	3	Color Name	Neutral	BLAU	Neutral	4	rm_hit	878.1
Practice	4	Color Name	Neutral	VERD	Neutral	3	rm_hit	1197.3
Practice	5	Color Name	Incongruent	VERMELL	VERD	2	rm_hit	1320.5
Practice	6	Color Name	Neutral	GROC	Neutral	5	rm_hit	1202.9
Practice	7	Color Name	Incongruent	VERD	GROC	3	rm_hit	1421.6
Practice	8	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	1018.2
Practice	9	Color Name	Incongruent	BLAU	GROC	4	rm_hit	1134.5
Practice	10	Color Name	Incongruent	BLAU	VERD	4	rm_hit	941.3
Practice	11	Color Name	Incongruent	GROC	VERD	5	rm_hit	1134.1
Practice	12	Color Name	Incongruent	VERD	BLAU	3	rm_hit	1062.8
Main	1	Color Name	Incongruent	VERD	GROC	3	rm_hit	2672.5
Main	2	Color Name	Neutral	GROC	Neutral	5	rm_hit	904.9
Main	3	Color Name	Incongruent	BLAU	GROC	4	rm_hit	1365.3
Main	4	Color Name	Incongruent	VERMELL	VERD	2	rm_hit	1585.9
Main	5	Color Name	Incongruent	VERMELL	GROC	2	rm_hit	857
Main	6	Color Name	Neutral	BLAU	Neutral	4	rm_hit	986
Main	7	Color Name	Neutral	VERD	Neutral	3	rm_hit	868.1
Main	8	Color Name	Neutral	VERD	Neutral	3	rm_hit	781.7
Main	9	Color Name	Incongruent	VERD	BLAU	3	rm_hit	795.5
Main	10	Color Name	Neutral	BLAU	Neutral	4	rm_hit	1869.2
Main	11	Color Name	Neutral	GROC	Neutral	5	rm_hit	865.8
Main	12	Color Name	Incongruent	VERD	VERMELL	3	rm_hit	1206.1
Main	13	Color Name	Incongruent	BLAU	VERMELL	4	rm_hit	1083.2
Main	14	Color Name	Incongruent	GROC	VERMELL	5	rm_hit	1051
Main	15	Color Name	Neutral	GROC	Neutral	5	rm_hit	919.8
Main	16	Color Name	Incongruent	GROC	BLAU	5	rm_hit	1259.3
Main	17	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	1086.3
Main	18	Color Name	Incongruent	GROC	VERD	5	rm_hit	936.5
Main	19	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	920.7
Main	20	Color Name	Incongruent	BLAU	VERD	4	rm_hit	1035
Main	21	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	1179.7
Main	22	Color Name	Neutral	VERD	Neutral	3	rm_hit	1030.2
Main	23	Color Name	Incongruent	VERMELL	BLAU	2	rm_hit	1130.5
Main	24	Color Name	Neutral	BLAU	Neutral	4	rm_hit	762.4

